DEPTH,GR,LLD,RHOB,PhiNSS
M,API,ohm.m,g/cm3,porosity units
2980.0296,268.95,2.3429,2.3468,0.5305
2980.182,257.317,2.3614,2.3471,0.5134
2980.3344,236.0867,2.359,2.3544,0.5282
2980.4868,221.4247,2.3536,2.3737,0.5267
2980.6392,217.0373,2.3426,2.3534,0.5439
2980.7916,220.4902,2.3126,2.3466,0.5662
2980.944,220.1879,2.2671,2.3499,0.5743
2981.0964,214.8572,2.2579,2.3623,0.6168
2981.2488,207.393,2.2706,2.3569,0.629
2981.4012,211.8235,2.3021,2.3399,0.6405
2981.5536,216.8893,2.3679,2.3316,0.5975
2981.706,220.5773,2.4716,2.3478,0.5277
2981.8584,210.0032,2.5951,2.4056,0.5634
2982.0108,207.5255,2.762,2.4478,0.5457
2982.1632,196.0498,2.9773,2.4588,0.6119
2982.3156,195.9278,3.0948,2.4718,0.5689
2982.468,193.0129,3.6404,2.4972,0.5193
2982.6204,192.4143,4.3118,2.5814,0.4555
2982.7728,179.6534,4.9617,2.6018,0.3833
2982.9252,164.0818,5.1323,2.5397,0.3303
2983.0776,167.4224,4.0922,2.4188,0.3164
2983.23,177.726,3.3048,2.3885,0.3514
2983.3824,193.0527,3.1591,2.4219,0.4457
2983.5348,199.006,3.5269,2.4973,0.5228
2983.6872,189.0387,3.8989,2.4837,0.5388
2983.8396,162.0553,3.6329,2.45,0.438
2983.992,133.5761,2.7248,2.4397,0.3242
2984.1444,120.1112,2.5841,2.4224,0.2572
2984.2968,121.3049,3.0037,2.4353,0.2387
2984.4492,123.1216,3.8526,2.4631,0.2377
2984.6016,137.8793,4.9969,2.515,0.2523
2984.754,154.1816,4.8499,2.5165,0.2749
2984.9064,165.2879,3.6934,2.4896,0.2967
2985.0588,169.3027,3.1354,2.4551,0.3296
2985.2112,173.7147,3.0518,2.4729,0.3845
2985.3636,181.5614,3.407,2.5029,0.3967
2985.516,184.0596,4.2377,2.5539,0.4025
